question,label
hoe kan ik pi gebruiken zonder het helemaal uit te typen,1
hoef ik alleenmaar math.pi te gebruiken,1
Hoe kan je een bot maken die van 9 opties elke keer niet hetzelfde antwoord kiest,1
hoe kan je een bot maken die van 9 opties een random optie kiest en niet dezelfde,1
hoe kan je een optie van een bot verwijderen met een code,1
kan je een stukje tekst in een andere kleur uit printen,1
hoe kan ik een getal optellen met een variabele,1
hoe vraag ik een input met een float,1
en hoe vraag ik om een input met een string,1
hoe vraag ik om een input van een getal met een string,1
hoe zet ik iemands input in een nieuw stukje code?,1
wat betekent de "f",1
hoe zorg ik dat er in de output een regel over wordt geslagen,1
hoe gebruik ik float,1
hoe vraag ik om een kommagetal,1
hoe gebruik ik pi zonder het helemaal te typen?,1
hoe maak je een float,1
hoe gebruik je nauwkeurig pi kunt gebruiken zonder dit getal helemaal uit te typen.,1
hoe bereken je het verschil tussen 2 getallen,1
hoe zorg je ervoor dat de prints een pauze ertussen hebben,1
hoe voeg je een wortel toe,1
hoe maak je een meerkeuzeklikvraag,1
hoe herhaal je een hele code,1
geef me tips om een gebruiker te begroeten,1
wat is een f"",1
wat betekend f",1
hoe gebruik je len(),1
wat is een boolean operator,1
hoe voeg je met een while loop getallen aan een lijst toe,1
wat is het verschil tussen if en elif,1
wat is het verschil tussen = en ==,1
how do i make it so i can repeat the question for another try at cracking the code,1
what is a boolean opporator,1
how do i stop a counter from counting,1
how do you check if a number is even of oneven,1
Hoe moet ik een score variabele maken?,1
Hoe codeer ik een score variabele?,1
Geef me een goede uitleg over hoe ik if/elif moet gebruiken?,1
'Print nu de volgende som in de code cel hieronder, let hierbij op haakjes. In python kun je ook haakjes in sommen gebruiken:  (drie keer (vier plus zes)) gedeeld door (acht plus vier)',2
'Kies drie getallen. Sla ze elk op in hun eigen variabele. Print de uitkomst van een rekensom met deze drie variabelen. De rekensom moet ten minste twee operatoren (`+`, `-`, `*`, `/`) gebruiken, en de uitkomst moet `15` zijn.',2
'Kies drie getallen. Sla ze elk op in hun eigen variabele. Print de uitkomst van een rekensom met deze drie variabelen. De rekensom moet ten minste twee operatoren (`+`, `-`, `*`, `/`) gebruiken, en de uitkomst moet `15` zijn.',2
'Vraag in de code cel hieronder om de achternaam van de gebruiker. Print vervolgens: ```achternaam```, dat is een mooie achternaam! Waarbij ```achternaam``` de echte achternaam van de gebruiker is.: leeftijd = input("Wat is je leeftijd?")  print(leeftijd + 10)',2
'Print nu de volgende som in de code cel hieronder, let hierbij op haakjes. In python kun je ook haakjes in sommen gebruiken:  (drie keer (vier plus zes)) gedeeld door (acht plus vier)',2
'Kies drie getallen. Sla ze elk op in hun eigen variabele. Print de uitkomst van een rekensom met deze drie variabelen. De rekensom moet ten minste twee operatoren (`+`, `-`, `*`, `/`) gebruiken, en de uitkomst moet `15` zijn.',2
'Kies drie getallen. Sla ze elk op in hun eigen variabele. Print de uitkomst van een rekensom met deze drie variabelen. De rekensom moet ten minste twee operatoren (`+`, `-`, `*`, `/`) gebruiken, en de uitkomst moet `15` zijn.',2
'Vraag in de code cel hieronder om de achternaam van de gebruiker. Print vervolgens: ```achternaam```, dat is een mooie achternaam! Waarbij ```achternaam``` de echte achternaam van de gebruiker is.: leeftijd = input("Wat is je leeftijd?")  print(leeftijd + 10)',2
'Vraag in de code cel hieronder om de achternaam van de gebruiker. Print vervolgens: achternaam, dat is een mooie achternaam! Waarbij achternaam de echte achternaam van de gebruiker is.',2
Wat gebeurt er als je geen int() op line 3 bij de input zet? Op welke line geeft de console een error?,2
op welke line komt de error dan te staan?,2
Vandaag gaan we het hebben over variabelen en inputs. Ik wil dat jullie eerst proberen om met behulp van de chatbot een klein idee te krijgen van wat dat is. Jullie gaan dus iets proberen te programmeren zonder dat jullie iets van dit onderwerp af weten. Dit is mogelijk omdat de chatbot jullie met je vragen kan helpen! De opdracht is als volgt:  Vraag in de code cel hieronder om de naam van de gebruiker van je programma en probeer deze naam vervolgens te printen.   Wat is jouw naam?  Thom Hallo Thom,2
'We gaan een temperatuur omrekenen van Fahrenheit naar Celsius en andersom.nnVraag om 2 inputs:nnEen float voor de waarde van de temperatuurnnEen string die vraagt of het in Fahrenheit of in Celsius isnnFormules:nnCelsius = (Fahrenheit - 32) * 0.5556nnFahrenheit = (Celsius * 1.8) + 32nnAls de waarde in Fahrenheit is, print dan de temperatuur in graden Celsius in een mooie zin. Als de waarde in Celsius is, print dan de temperatuur in graden Fahrenheit in een mooie zin.nnLET OP HOOFDLETTERS!',2
Vraag om 2 inputs:nnHoogtennBreedtennDoe dan het volgende:nnPrint een rechthoek van # met de gegeven hoogte en breedtennPrint hieronder of de rechthoek een vierkant isnnPrint daaronder wat de oppervlakte van de rechthoek isnnBijvoorbeeld bij hoogte = 3 en breedte = 4:,2
'Om je naam vraagtnnOm je leeftijd vraagtnnPrint dan: "Hallo [naam], over 10 jaar ben je [leeftijd + 10] jaar oud!"',2
'Maak een programma dat om 2 getallen met inputs vraagt.nnPrint de grootste van deze 2 getallen!nnAls allebei de getallen even groot zijn, print dan dit getal.',2
'Sla een wachtwoord op in een variabele. Dit mag een groot getal zijn, of een stuk tekst.nnVraag nu met een input om het wachtwoord.nnAls het wachtwoord correct is (hetzelfde als de variabele), print dan: "Correct wachtwoord, je bent ingelogd!" Als het wachtwoord incorrect is, print dan: "Incorrect wachtwoord, probeer het opnieuw!"nnLET OP voor deze opdracht zijn geen tests',2
'We gaan een temperatuur omrekenen van Fahrenheit naar Celsius en andersom.nnVraag om 2 inputs:nnEen float voor de waarde van de temperatuurnnEen string die vraagt of het in Fahrenheit of in Celsius isnnFormules:nnCelsius = (Fahrenheit - 32) * 0.5556nnFahrenheit = (Celsius * 1.8) + 32nnAls de waarde in Fahrenheit is, print dan de temperatuur in graden Celsius in een mooie zin. Als de waarde in Celsius is, print dan de temperatuur in graden Fahrenheit in een mooie zin.',2
'Maak nu een programma dat om 3 getallen met inputs vraagt.nnPrint de grootste van deze 3 getallen.nnAls meerdere getallen even groot zijn en dit is het grootste getal, print dan dit getal.',2
Deze opdracht bestaat uit twee stappen:nnStap 1:nnMaak een while loop die alle getallen van 1 tot en met 20 print.nnStap 2:nnMaak een while loop die alle even getallen van 2 tot en met 20 print.,2
'Vraag de gebruiker om een getal en geef met behulp van een if/else statement aan of het getal positief, negatief of nul is.',2
'Vraag de gebruiker met inputs om een letter, een hoogte en een breedte. Teken nu een rechthoek zoals hieronder:nn########nn########nn########nn########nn########nnDe breedte en hoogte van de rechthoek zijn door de gebruiker te bepalen. De letter wordt gebruikt in plaats van de hashtags.',2
Gegeven is een lege lijst.nnVoeg met behulp van een while loop de getallen 1 tot en met 10 aan deze lijst toe!nnPrint hierna de lijst met getallen.,2
'We gaan een gevecht met een zombie simuleren!nnDoe het volgende:nnMaak een lijst met meerdere wapens erinnnSla in een variabele genaamd zwakte een van deze wapens opnnPrint dat de gebruiker een zombie tegen komt en dat hij of zij ready moet zijn om te vechten!nnPrint de lijst met wapensnnGeef de gebruiker een keuze: typ 1 voor een wapen uit de lijst, typ 2 voor je eigen wapennnAls de gebruiker 1 kiest, laat ze dan een wapen uit de lijst kiezennnAls de gebruiker 2 kiest, laat ze dan met een input een wapen bedenken en voeg dit toe aan de lijstnnAls het wapen dat gekozen is hetzelfde is als de zwakte van de zombie win je het gevechtnnAls het wapen anders is verlies je en ga je dood',2
Gegeven is het begin van een programma.nnZorg dat als de gebruiker een keuze maakt deze code ook wordt uitgevoerd.nnVraag als de gebruiker 2 of 3 kiest om nog een input!,2
Als het salaris tussen de 40.000 en 100.000 is en de werkdruk is laag print dan. hoe geef ik dit aan,2
'Vraag om 1 input:nnGebruikte stroom in kiloWatt (getal)nnWe gaan de totale stroomprijs uitrekenen en printen, dit doen we als volgt:nnEerste 100 kiloWatt --> gratisnnTweede 100 kiloWatt (van 100 t/m 200) --> 5 euro per kiloWattnnDe rest --> 10 euro per kiloWatt',2
vul de antwoorden in bij de comments: # Voorbeeld 1nnleeftijd = 18nn nnif leeftijd >= 18:nn print("Je bent oud genoeg om zelf auto te rijden!")nn# Voorbeeld 2nngetal1 = 11nn nnif getal1 == 10:nn  print("Dit wordt geprint omdat de conditie True was")nnelse:nn  print("Dit wordt geprint omdat de conditie False was")nn# Voorbeeld 3nngetal2 = 5nnprint("Ik heb een nummer tussen de 1 en de 10 bedacht")nngok = int(input("Doe een gok!"))nnif gok == getal2:nn  print("Goed!")nnif gok < getal2:nn  print("Te laag!")nnif gok > getal2:nn  print("Te hoog!")nn# Wat gebeurt er als je "2" invult bij de gok?nn  # Antwoord nn# Wat gebeurt er als je "-5" invult bij de gok?nn  # Antwoordnn# Wat betekenen de tekens < en > op lijn 25 en 27?nn  # Antwoordnn# Wat gebeurt er als je op de eerste if bij gok "if gok = getal2:" ipv "if gok == getal2:" zet?nn  # Antwoordnn# Wat valt je op aan elke regel onder een if statement?nn  # Antwoord,2
'De chatbot moet het volgende doen:nnVraag de gebruiker om zijn naam en sla dit op in een variabelennBegroet de gebruikernnStel 3 vragen over de gebruiker en sla de antwoorden op in 3 variabelennnDe chatbot geeft vervolgens een reactie op de antwoorden van de gebruiker, gebruik de gebruiker zijn naam in je antwoorden, bijvoorbeeld Dat is een leuke hobby, Johan!nnGeef een samenvatting van alle antwoorden van de gebruiker in één zin',2
'Maak nu een programma dat om 3 getallen met inputs vraagt.nnPrint de grootste van deze 3 getallen.nnAls meerdere getallen even groot zijn en dit is het grootste getal, print dan dit getal.',2
Maak een while loop die alle getallen van 1 tot en met 20 print.,2
Wat heb je nodig?nn- Een while loop die doorgaat tot het getal geraden isnn- Een teller voor het aantal pogingennn- Input voor het radennn- If/elif/else voor het checken van te hoog/te laag,2
Vraag om 2 inputs:nnHoogtennBreedtennDoe dan het volgende:nnPrint een rechthoek van # met de gegeven hoogte en breedte,2
'Maak een programma dat:nnOm je naam vraagtnnOm je leeftijd vraagtnnPrint dan: "Hallo [naam], over 10 jaar ben je [leeftijd + 10] jaar oud!"nnLet op: Denk goed na over de types van je variabelen',2
'Opdracht 3 - Grootste GetalnnMaak een programma dat om 2 getallen met inputs vraagt.nnPrint de grootste van deze 2 getallen!nnAls allebei de getallen even groot zijn, print dan dit getal.',2
'Opdracht 3 - Grootste GetalnnMaak een programma dat om 2 getallen met inputs vraagt.nnPrint de grootste van deze 2 getallen!nnAls allebei de getallen even groot zijn, print dan dit getal.',2
'Opdracht 4 - Wachtwoord RadennnSla een wachtwoord op in een variabele. Dit mag een groot getal zijn, of een stuk tekst.nnVraag nu met een input om het wachtwoord.nnAls het wachtwoord correct is (hetzelfde als de variabele), print dan: "Correct wachtwoord, je bent ingelogd!" Als het wachtwoord incorrect is, print dan: "Incorrect wachtwoord, probeer het opnieuw!"nnLET OP voor deze opdracht zijn geen tests',2
'Opdracht 5 - Temperatuur OmrekenennnWe gaan een temperatuur omrekenen van Fahrenheit naar Celsius en andersom.nnVraag om 2 inputs:nnEen float voor de waarde van de temperatuurnnEen string die vraagt of het in Fahrenheit of in Celsius isnnFormules:nnCelsius = (Fahrenheit - 32) * 0.5556nnFahrenheit = (Celsius * 1.8) + 32nnAls de waarde in Fahrenheit is, print dan de temperatuur in graden Celsius in een mooie zin. Als de waarde in Celsius is, print dan de temperatuur in graden Fahrenheit in een mooie zin.nnLET OP HOOFDLETTERS!',2
Opdracht 6 - QuiznnIn deze opdracht ga je zelf een quiz maken. Je mag zelf bepalen of de quiz meerkeuze of met vrije antwoorden is.nnBedenk vragen en vraag om antwoord met behulp van inputs. Check hierna of het antwoord goed is. Als het antwoord goed is maak dan een variabele score 1 punt hoger.nnAls alle vragen geweest zijn print dan de score aan de user en geef hem of haar een cijfer!,2
Maak een while loop die alle getallen van 1 tot en met 20 print,2
'Vraag de gebruiker met inputs om een letter, een hoogte en een breedte. Teken nu een rechthoek zoals hieronder:nn```nn########nn########nn########nn########nn########nn```',2
'los dit op ## Opdracht 2 - StroomrekeningnnVraag om 1 input:nn- Gebruikte stroom in kiloWatt (getal)nnWe gaan de totale stroomprijs uitrekenen en printen, dit doen we als volgt:nn- Eerste 100 kiloWatt --> gratisnn- Tweede 100 kiloWatt (van 100 t/m 200) --> 5 euro per kiloWattnn- De rest --> 10 euro per kiloWattnnVoorbeeld:nn350 kiloWattnnEerste 100 --> 0nnTweede 100 --> 100 * 5 = 500nnRest (150) --> 150 * 10 = 1500nnDus kosten: 2000 euro',2
geef een code om fooi te berekenen,2
maak een code om de oppervlakte en de omtrek van een cirkel te berekenen,2
geef een code voor het vragen van een naam,2
'Maak een programma dat:nnOm je naam vraagtnnOm je leeftijd vraagtnnPrint dan: "Hallo [naam], over 10 jaar ben je [leeftijd + 10] jaar oud!"',2
'Maak een programma dat om 2 getallen met inputs vraagt.nnPrint de grootste van deze 2 getallen!nnAls allebei de getallen even groot zijn, print dan dit getal.',2
'Sla een wachtwoord op in een variabele. Dit mag een groot getal zijn, of een stuk tekst.nnVraag nu met een input om het wachtwoord.nnAls het wachtwoord correct is (hetzelfde als de variabele), print dan: "Correct wachtwoord, je bent ingelogd!" Als het wachtwoord incorrect is, print dan: "Incorrect wachtwoord, probeer het opnieuw!"',2
Sla het wachtwoord: HOI123 op in een variabele,2
hoe kan je een het grootste getal van 3 getalen printen,2
Maak een while loop die alle even getallen van 2 tot en met 20 print.,2
'wat moet je doen als er bij een opdracht staat Maak een programma dat:nnOm je naam vraagtnnOm je leeftijd vraagtnnPrint dan: "Hallo [naam], over 10 jaar ben je [leeftijd + 10] jaar oud!"',2
Maak een while loop die alle getallen van 1 tot en met 20 print.,2
Vraag om 2 inputs:nnHoogtennBreedtennDoe dan het volgende:nnPrint een rechthoek van # met de gegeven hoogte en breedtennPrint hieronder of de rechthoek een vierkant isnnPrint daaronder wat de oppervlakte van de rechthoek isnnBijvoorbeeld bij hoogte = 3 en breedte = 4:,2
Vraag om 2 inputs:nnHoogtennBreedtennDoe dan het volgende:nnPrint een rechthoek van # met de gegeven hoogte en breedtennPrint hieronder of de rechthoek een vierkant isnnPrint daaronder wat de oppervlakte van de rechthoek isnngebruik hierbij de hoogte is 3 en de breedte is 4,2
Gegeven is een lege lijst.nnVoeg met behulp van een while loop de getallen 1 tot en met 10 aan deze lijst toe!nnPrint hierna de lijst met getallen.,2
Opdracht 1 - Oppervlakte van een rechthoeknnSchrijf een programma dat de oppervlakte van een rechthoek berekent.nnVraag om inputs voor de lengte en de breedte van de rechthoeknnBereken de oppervlakte en sla het op in een variabelennPrint de oppervlakte in een zin,2
'Vraag de gebruiker met inputs om een letter, een hoogte en een breedte. Teken nu een rechthoek zoals hieronder:nn```nn########nn########nn########nn########nn########nn```nnDe breedte en hoogte van de rechthoek zijn door de gebruiker te bepalen. De letter wordt gebruikt in plaats van de hashtags.',2
Gegeven is een lege lijst.shnnVoeg met behulp van een while loop de getallen 1 tot en met 10 aan deze lijst toe!nnPrint hierna de lijst met getallen.,2
how do i make a drawing of a rectangle using # by only giving the hight and the width,2
Maak een while loop die alle even getallen van 2 tot en met 20 print.,2
Hoe maak ik een code die weet welke van de 3 getallen het grootste is?,2
Hoe maak ik een quiz?,2
Maak een while loop die alle getallen van 1 tot en met 20 print.,2
Maak een while loop die alle even getallen van 2 tot en met 20 print.,2
Vraag om 2 inputs:nn    Hoogtenn    BreedtennDoe dan het volgende:nn    Print een rechthoek van # met de gegeven hoogte en breedtenn    Print hieronder of de rechthoek een vierkant isnn    Print daaronder wat de oppervlakte van de rechthoek is,2
Print dit woord net zo vaak als het gegeven getal. Doe dit met behulp van een loop!,2
'Gegeven is een lijst met drie steden:nnsteden = ["Amsterdam", "Rotterdam", "Utrecht"]nnVoer de volgende stappen uit:nn    Vraag de gebruiker om een stad toe te voegen aan de lijst en voeg deze toe met behulp van append().nn    Vervang de tweede stad in de lijst door een stad die de gebruiker invoert.nn    Vraag de gebruiker om een getal tussen 0 en het aantal steden min 1, en print de stad op die positie.nn    Verwijder de eerste stad uit de lijst en print de nieuwe lijst.nn    Print de totale aantal steden in de lijst met behulp van len().',2
'Vraag om 1 input:nn    Gebruikte stroom in kiloWatt (getal)nnWe gaan de totale stroomprijs uitrekenen en printen, dit doen we als volgt:nn    Eerste 100 kiloWatt --> gratisnn    Tweede 100 kiloWatt (van 100 t/m 200) --> 5 euro per kiloWattnn    De rest --> 10 euro per kiloWatt',2
'Gebruik bij deze vraag een while loop. Print de getallen van 10 tot en met 1, begin bij 10 en eindig bij 1',2
'Gebruik bij deze vraag while loops. Print de eerste 5 machten van 3, dus 3, 9, 27, 81, 243',2
'Vraag de gebruiker om 2 inputs:nn    Salaris (getal)nn    Werkdruk (hoog, laag)nnAls het salaris boven de 100.000 is en de werkdruk is laag print dan Wat een baan!.nnAls het salaris boven de 100.000 is en de werkdruk is hoog print dan Hard werken maar veel geld!.nnAls het salaris tussen de 40.000 en 100.000 is en de werkdruk is laag print dan Goed salaris voor het werk dat je doet!.nnAls het salaris tussen de 40.000 en 100.000 is en de werkdruk is hoog print dan Hard werken maar zeker een prima salaris!.nnAls het salaris onder de 40.000 is en de werkdruk is hoog print dan Hard werken en niet erg veel salaris helaas....nnAls het salaris onder de 40.000 is en de werkdruk is laag print dan Niet heel veel salaris, misschien wat harder gaan werken?',2
waarom werkt deze code niet x = 5 y = 10 z = "4" print(x + y + z),3
waarom werkt dit niet getal1 = 10 getal2 = input("Geef een getal:")  totaal1 = getal1 + getal2  print(str(getal1) + " plus " + str(getal2) + " = "),3
print("Een rechthoek met de breedte " + str(breedte) + " en een lengte van " + str(lengte) + " heeft een oppervlakte van " + str(oppervlakte) ".")  whats wrong with this code?,3
wat is er fout: print(Ben ik nog steeds aan het programmeren?),3
'Wat zou de output nu zijn bij print("hallo, " + voornaam)',3
How do I use the print function if I want to say Hello World in the console,3
'Opdracht 1 - MoodnnVraag de gebruiker om 2 inputs:nnSalaris (getal)nnWerkdruk (hoog, laag)nnAls het salaris boven de 100.000 is en de werkdruk is laag print dan Wat een baan!.nnAls het salaris boven de 100.000 is en de werkdruk is hoog print dan Hard werken maar veel geld!.nnAls het salaris tussen de 40.000 en 100.000 is en de werkdruk is laag print dan Goed salaris voor het werk dat je doet!.nnAls het salaris tussen de 40.000 en 100.000 is en de werkdruk is hoog print dan Hard werken maar zeker een prima salaris!.nnAls het salaris onder de 40.000 is en de werkdruk is hoog print dan Hard werken en niet erg veel salaris helaas....nnAls het salaris onder de 40.000 is en de werkdruk is laag print dan Niet heel veel salaris, misschien wat harder gaan werken?.',3
'Opdracht 2 - StroomrekeningnnVraag om 1 input:nnGebruikte stroom in kiloWatt (getal)nnWe gaan de totale stroomprijs uitrekenen en printen, dit doen we als volgt:nnEerste 100 kiloWatt --> gratisnnTweede 100 kiloWatt (van 100 t/m 200) --> 5 euro per kiloWattnnDe rest --> 10 euro per kiloWattnnVoorbeeld:nn350 kiloWattnnEerste 100 --> 0 Tweede 100 --> 100 * 5 = 500 Rest (150) --> 150 * 10 = 1500nnDus kosten: 2000 euro',3
zonder min() en max(),3
'Opdracht 3 - Loop LoopnnVoer de volgende 2 stappen uit, het is verplicht om voor allebei een aparte while loop te gebruiken:nnStap 1nnPrint de getallen van 10 tot en met 1, begin bij 10 en eindig bij 1nnStap 2nnPrint de eerste 5 machten van 3, dus 3, 9, 27, 81, 243nnJe programma print dus:nn10nn9nn8nn7nn6nn5nn4nn3nn2nn1nn3nn9nn27nn81nn243',3
Opdracht 4 - Woord printennnVraag de gebruiker om 2 inputs:nnEen woordnnEen getalnnPrint dit woord net zo vaak als het gegeven getal. Doe dit met behulp van een loop!nnDus:nnwoord: Informaticanngetal: 4nnInformaticannInformaticannInformaticannInformatica,3
is een for loop ook mogelijk?,3
'Opdracht 5 - Lijst BewerkennnGegeven is een lijst met drie steden:nnsteden = ["Amsterdam", "Rotterdam", "Utrecht"]nnVoer de volgende stappen uit:nnVraag de gebruiker om een stad toe te voegen aan de lijst en voeg deze toe met behulp van append().nnVervang de tweede stad in de lijst door een stad die de gebruiker invoert.nnVraag de gebruiker om een getal tussen 0 en het aantal steden min 1, en print de stad op die positie.nnVerwijder de eerste stad uit de lijst en print de nieuwe lijst.nnPrint de totale aantal steden in de lijst met behulp van len().',3
waarom werkt deze code niet breedte = int(input("Kies de breedte"))nnhoogte = int(input("Nu de hoogte"))nnprint(f"{breedte} * "#""),3
hoef ik verder niks aan te passen?,3
elif getal = < 0: wat is hier fout aan,3
'wat is er fout: name = input("Wat is uw naam?")nnleeftijd = int(input("Wat is je leeftijd?"))nnprint(f"Hallo {name}, over 10 jaar ben je {10 + name} jaar oud!")',3
'wat doei k fout hij crashed: import randomnnrandom_getal = random.randint(1, 100)nnuser_gok = int(input("Gok het getal: "))nnwhile random_getal != user_gok:nn    print("Dit is incorrect probeer het opnieuw: ")nnelse:nn    print("Je hebt goed gegokt")',3
'hij crashed nu wat moet ik doen om dat de voorkomen: import randomnnrandom_getal = random.randint(1, 100)nnuser_gok = int(input("Gok het getal: "))nnwhile random_getal != user_gok:nn    print("Dit is incorrect probeer het opnieuw: ")nnprint("Je hebt goed gegokt")',3
'zijn de comments correct: zin = ["Deze", "woorden", "zitten", "allemaal", "in", "een"]nnprint(zin) #hij print Deze woorden zitten allemaal in eennnprint(zin[1]) #hij print woordennnzin[1] = "strings" # woorden wordt stringsnnzin[5] = "lijst" #een wordt lijstnnprint(zin[3]) #print allemaalnnprint(zin[0] + " " + zin[3]) # hij print deze allemaalnnprint(zin) #hij print deze string zitten allemaal in lijst',3
op welke andere manieren kun je dit doen: counter =+ 1,3
wat doe ik fout: getallen = []nncounter = 0nnwhile counter <= 10:nn    getallen.append(counter)nn    counter = counter + 1nnprint("klaar"),3
hoe kan je een timer maken dat de user een string kan invoegen ik wil een timer van 1 minuut,3
how do i run the file,3
'score = 0nnquestions = ["-", ".", "+"]nnanswers = ["-", ".", "+"]nnround = 0nnmaxRound = questions.lengthnnfor i in maxRound:nn    userAns = (question[round])nn    if userAns == answers[round]:nn        score+1nn    round+1nnwhy doesnt .length work on a py array?',3
'waarom werkt deze code niet? als ik 5 zeg bij de eerste input en daarna ja geeft het programma een name errornngok = int(input("Kies een random getal tussen de 1 en de 10: "))nnif gok < 5:nn    print("Je hebt onder de 5 gegokt!")nnif gok> 5:nn    print("je hebt boven de 5 gegokt!")nnif gok == 5:nn    print("je hebt 5 gegokt")nnVraag1 = input("ja of nee?")nnif Vraag1 == ja:nn    print("gefeliciteerd, u wint 10.000 euro!")nnelse:nn    print("Helaas,u bent zojuist 10.000 euro misgelopen...")',3
hij print bij de laatste if print steeds {getal1} en {getal2} inplaats van het getal dat de gebruiker in heeft gevoert,3
'mijn code blijft aangeven dat het wachtwoord verkeerd is, ook al is het het goede wachtwoord.nnX = "Mauro1403"nninput("wachtwoord")nnif X == "wachtwoord":nn    print("Correct wachtwoord, je bent ingelogt!")nnif "wachtwoord" != X:nn    print("Incorrect wachtwoord, probeer het opnieuw!")',3
'waaro,m zegt hij de getallen inplaats van het eindantwoord van de som? getal1 = ("3")nngetal2 = ("4")nngetal3 = ("6")nngetal4 = ("8")nngetal5 = ("4")nnprint(f"{getal1}*({getal2} + {getal3}) / ({getal4} + {getal5})")',3
is er een manier hoe je kan checken of getal1 groter is dan getal2 en 3 met maar 1 if comment,3
#vragen naar getalennngetal1 = int(input("vul een getal in"))nngetal2 = int(input("vul een 2e getal in"))nngetal3 = int(input("vul een 3e getal in"))nn#checken welke grootste isnnif getal1>= getal2 and getal1 >= getal3:nn    print(f"{getal1} is het grootst")nn    nnelif getal2 >= getal1 and getal2 >= getal3:nn     print(f"{getal3} is het grootst")nn    nnelif getal3 >= getal1 and getal3 >= getal2:nn     print(f"{getal3} is het grootst")nnwaarom werk deze code soms niet,3
waarom werkt mijn code niet wachtwoord = Mauro1403nncounter = 0nninput("wat is je wachtwoord")nnwhile input != wachtwoord:nn    input("wat is het wachtwoord")nn    counter += 1,3
wat gebeurt hier? getal3 = int(getal2)nn#nnprint(f"Getal 1 is: {getal1}")nn#nnprint(f"Getal 2 plus getal 3 is: {getal2 + str(getal3)}"),3
'geeft de output voor deze code: gok = int(input("Kies een random getal tussen de 1 en de 10: "))nnif gok < 5:nn    print("Je hebt onder de 5 gegokt!")nnif gok > 5:nn    print("Je hebt boven de 5 gegokt!")nnif gok == 5:nn    print("Je hebt 5 gegokt")nnwin = 5nnwin1 = if win == gok:nn    int(input("Kies: Ja of nee, "))nn    if win1 == ja: nn        print("Gefeliciteerd, u wint 10.000 euro")nn    if win1 == nee: nn        print("Helaas, u bent zojuist 10.000 euro misgelopen...")',3
wat doe ik hier fou? print(f"{hoogte * #}{breedte * #} "),3
tafel = 6nncounter = 1nnwhile counter < 11:nn    print(tafel * counter)nn    counter = counter + 1 wat gaat hier fout?,3
